"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 27","853.75","870.10","870.10","850.77","1.19B","-1.57%"
"2024- 02- 26","867.40","869.08","872.52","866.43","1.22B","-0.13%"
"2024- 02- 23","868.57","873.21","875.58","866.22","1.49B","-0.18%"
"2024- 02- 22","870.11","868.22","871.46","864.56","1.48B","0.70%"
"2024- 02- 21","864.07","861.58","872.38","860.91","1.73B","-0.24%"
"2024- 02- 20","866.17","858.08","866.17","854.58","1.39B","0.90%"
"2024- 02- 19","858.47","854.28","862.08","853.52","1.27B","0.10%"
"2024- 02- 16","857.60","863.69","864.24","854.72","1.34B","-0.19%"
"2024- 02- 15","859.21","860.13","861.37","852.79","1.22B","0.69%"
"2024- 02- 14","853.30","833.24","854.44","831.56","1.09B","0.96%"
"2024- 02- 13","845.15","831.14","846.58","830.66","896.29M","2.25%"
"2024- 02- 08","826.58","816.82","828.03","816.27","912.50M","1.81%"
"2024- 02- 07","811.92","811.51","820.06","809.18","827.98M","0.61%"
"2024- 02- 06","807.03","804.36","808.39","795.37","1.07B","-0.12%"
"2024- 02- 05","807.99","812.28","813.83","807.36","974.41M","-0.83%"
"2024- 02- 02","814.77","803.71","817.74","803.71","1.10B","2.01%"
"2024- 02- 01","798.73","796.26","800.91","786.28","1.12B","-0.06%"
"2024- 01- 31","799.24","813.80","818.90","799.24","1.14B","-2.40%"
"2024- 01- 30","818.86","826.00","828.54","811.57","1.10B","-0.03%"
"2024- 01- 29","819.14","841.21","841.21","815.54","1.25B","-2.16%"
"2024- 01- 26","837.24","818.76","839.52","817.06","1.24B","1.64%"
"2024- 01- 25","823.74","833.34","833.34","820.64","1.57B","-1.49%"
"2024- 01- 24","836.21","841.45","842.90","828.12","1.42B","-0.46%"
"2024- 01- 23","840.11","840.62","848.65","833.24","1.25B","0.05%"
"2024- 01- 22","839.69","848.87","849.32","836.89","1.32B","-0.35%"
"2024- 01- 19","842.67","848.66","856.05","837.87","1.22B","0.28%"
"2024- 01- 18","840.33","834.01","848.63","830.06","1.17B","0.87%"
"2024- 01- 17","833.05","856.61","856.97","832.70","1.11B","-2.55%"
"2024- 01- 16","854.83","857.39","864.90","846.47","1.03B","-0.57%"
"2024- 01- 15","859.71","865.45","869.69","855.00","996.41M","-0.96%"
"2024- 01- 12","868.08","878.69","880.30","865.81","1.11B","-1.64%"
"2024- 01- 11","882.53","878.12","885.75","878.12","1.48B","0.81%"
"2024- 01- 10","875.46","884.08","884.08","872.68","1.27B","-1.04%"
"2024- 01- 09","884.64","886.10","890.06","881.97","1.17B","0.60%"
"2024- 01- 08","879.34","880.24","882.88","875.34","1.16B","0.11%"
"2024- 01- 05","878.33","866.81","878.98","864.86","1.05B","1.39%"
"2024- 01- 04","866.25","865.35","872.79","860.45","1.22B","-0.61%"
"2024- 01- 03","871.57","872.21","872.44","865.12","1.26B","-0.84%"
"2024- 01- 02","878.93","866.08","878.93","865.26","1.15B","1.43%"
"2023- 12- 28","866.57","860.42","866.57","856.53","1.25B","0.79%"
"2023- 12- 27","859.79","851.49","860.29","851.21","1.22B","1.35%"
"2023- 12- 26","848.34","855.75","857.24","846.32","1.08B","-0.73%"
"2023- 12- 22","854.62","863.35","864.79","853.49","1.21B","-0.56%"
"2023- 12- 21","859.44","855.76","867.33","851.82","1.15B","-0.41%"
"2023- 12- 20","862.98","861.96","865.02","860.56","1.12B","0.55%"
"2023- 12- 19","858.30","850.36","858.65","849.33","1.07B","0.86%"
"2023- 12- 18","850.96","844.78","854.07","843.61","802.09M","1.51%"
"2023- 12- 15","838.31","844.76","846.70","834.94","1.08B","-0.27%"
