"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 08- 23","773.26","765.49","774.20","764.83","904.33M","-0.03%"
"2024- 08- 22","773.47","782.59","783.89","768.48","950.99M","-0.82%"
"2024- 08- 21","779.87","783.98","784.92","775.30","1.07B","-0.96%"
"2024- 08- 20","787.44","783.73","787.95","783.35","997.06M","1.28%"
"2024- 08- 19","777.47","787.32","788.79","776.71","1.14B","-1.13%"
"2024- 08- 16","786.33","787.34","788.86","783.88","1.08B","1.22%"
"2024- 08- 14","776.83","775.11","778.66","774.17","1.11B","1.56%"
"2024- 08- 13","764.86","771.98","773.90","757.19","1.17B","-1.02%"
"2024- 08- 12","772.72","767.21","775.31","767.21","885.11M","1.08%"
"2024- 08- 09","764.43","759.91","768.21","759.91","843.85M","2.57%"
"2024- 08- 08","745.28","738.29","751.51","732.74","1.01B","-0.44%"
"2024- 08- 07","748.54","731.82","754.41","731.44","947.16M","2.14%"
"2024- 08- 06","732.87","709.04","738.77","707.72","1.08B","6.02%"
"2024- 08- 05","691.28","765.57","765.57","672.57","1.17B","-11.30%"
"2024- 08- 02","779.33","799.45","799.97","778.39","845.79M","-4.20%"
"2024- 08- 01","813.53","807.52","815.28","807.50","644.08M","1.29%"
"2024- 07- 31","803.15","802.00","804.17","795.18","798.87M","-0.08%"
"2024- 07- 30","803.78","805.17","807.38","800.36","842.01M","-0.52%"
"2024- 07- 29","807.99","800.64","808.73","800.39","652.99M","1.31%"
"2024- 07- 26","797.56","799.97","802.06","795.02","777.35M","0.03%"
"2024- 07- 25","797.29","802.28","803.55","794.23","1.03B","-2.08%"
"2024- 07- 24","814.25","809.45","819.81","807.55","837.08M","0.26%"
"2024- 07- 23","812.12","816.30","821.93","808.79","939.60M","0.27%"
"2024- 07- 22","809.96","827.98","828.09","806.79","906.83M","-2.26%"
"2024- 07- 19","828.72","820.29","828.82","819.13","871.20M","0.76%"
"2024- 07- 18","822.48","820.14","824.96","812.90","869.76M","-0.84%"
"2024- 07- 17","829.41","841.28","843.10","829.09","828.95M","-1.21%"
"2024- 07- 16","839.61","850.96","851.20","837.29","874.49M","-1.56%"
"2024- 07- 15","852.88","852.62","852.93","847.68","785.85M","0.30%"
"2024- 07- 12","850.37","848.04","855.03","845.03","764.43M","-0.24%"
"2024- 07- 11","852.42","861.73","862.61","851.72","835.02M","-0.71%"
"2024- 07- 10","858.55","859.01","860.82","854.60","896.44M","-0.22%"
"2024- 07- 09","860.42","860.18","864.11","857.60","1.05B","0.13%"
"2024- 07- 08","859.27","848.59","859.27","848.59","742.51M","1.39%"
"2024- 07- 05","847.49","842.50","849.25","841.98","780.46M","0.79%"
"2024- 07- 04","840.81","838.90","844.10","838.90","744.76M","0.56%"
"2024- 07- 03","836.10","832.98","838.89","829.50","788.69M","0.75%"
